,AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr
251,Baroda,Baroda Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,15.64,15.04,12.27
252,Nippon,Nippon India Index Fund Nifty 50 Plan Direct Growth,Other,Very High Risk,3.0,3.86,15.04,11.3
253,Franklin,Franklin India Life Stage FoF The 20s Plan Direct Growth,Other,Very High Risk,,5.26,15.03,9.13
254,HDFC,HDFC Index Fund Nifty 50 Plan Direct Growth,Other,Very High Risk,3.0,3.86,15.01,11.35
255,HDFC,HDFC Multi Asset Fund Direct Growth,Hybrid,Very High Risk,4.0,6.3,15.0,10.97
256,Indiabulls,Indiabulls Value Fund Direct Growth,Equity,Very High Risk,2.0,1.44,14.99,4.87
257,Axis,Axis Nifty 100 Index Fund Direct Growth,Other,Moderately High Risk,3.0,3.31,14.98,
258,UTI,UTI Long Term Equity Fund Direct Growth,Equity,Very High Risk,3.0,-4.92,14.97,9.89
259,DSP,DSP Nifty 50 Index Fund Direct Growth,Other,Moderately High Risk,3.0,3.87,14.96,
260,ICICI,ICICI Prudential Passive Strategy Fund (FOF) Direct Growth,Other,Very High Risk,3.0,4.57,14.94,10.66
261,Tata,Tata Large Cap Direct Plan Growth,Equity,Very High Risk,2.0,3.19,14.93,10.12
262,HSBC,HSBC Midcap Fund Direct Growth,Equity,Very High Risk,2.0,1.6,14.93,7.15
263,Aditya,Aditya Birla Sun Life Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,3.73,14.92,10.96
264,UTI,UTI Mastershare Direct Growth,Equity,Very High Risk,4.0,-2.36,14.9,10.7
265,ICICI,ICICI Prudential S&P BSE Sensex Index Fund Direct Growth,Other,Very High Risk,4.0,4.26,14.9,11.96
266,SBI,SBI Nifty Index Direct Plan Growth,Other,Very High Risk,3.0,3.9,14.9,11.19
267,LIC,LIC MF Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,3.95,14.85,10.94
268,Franklin,Franklin India NSE Nifty 50 Index Direct Growth,Other,Very High Risk,3.0,3.83,14.84,10.93
269,Nippon,Nippon India Index Fund S&P BSE Sensex Plan Direct Growth,Other,Very High Risk,4.0,4.29,14.83,12.0
270,Canara,Canara Robeco Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,4.0,1.5,14.82,11.86
271,Mirae,Mirae Asset Large Cap Fund Direct Growth,Equity,Very High Risk,4.0,2.12,14.82,10.87
272,IDBI,IDBI Nifty Index Fund Direct Growth,Other,Very High Risk,3.0,3.82,14.81,11.16
273,HDFC,HDFC Dynamic PE Ratio FoF Direct Growth,Other,High Risk,4.0,7.84,14.78,9.53
274,Tata,Tata India Consumer Fund Direct Growth,Equity,Very High Risk,2.0,0.63,14.72,9.17
275,HDFC,HDFC Index S&P BSE Sensex Direct Plan Growth,Other,Very High Risk,4.0,4.28,14.68,11.93
276,Baroda,Baroda Large Cap Direct Fund Growth,Equity,Very High Risk,2.0,6.97,14.64,11.35
277,HSBC,HSBC Large and Mid Cap Fund Direct Growth,Equity,Moderately High Risk,2.0,-3.33,14.63,
278,LIC,LIC MF S&P BSE Sensex Fund Direct Growth,Other,Very High Risk,3.0,4.11,14.58,11.66
279,ICICI,ICICI Prudential Bharat Consumption Fund Direct Growth,Equity,High Risk,3.0,7.86,14.58,
280,Tata,Tata Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,6.31,14.54,9.58
281,Tata,Tata S&P BSE Sensex Index Direct,Other,Very High Risk,4.0,4.24,14.52,11.88
282,Baroda,Baroda BNP Paribas Aggressive Hybrid Fund Direct Growth,Hybrid,Very High Risk,5.0,3.79,14.51,12.75
283,Aditya,Aditya Birla Sun Life Financial Planning FoF Aggressive Plan Direct Growth,Other,Very High Risk,3.0,2.5,14.51,10.0
284,UTI,UTI Infrastructure Fund Direct Growth,Equity,Very High Risk,2.0,6.81,14.51,7.18
285,SBI,SBI Flexicap Fund Direct Growth,Equity,Very High Risk,3.0,0.09,14.45,9.84
286,Sundaram,Sundaram Large Cap Fund Direct Growth,Equity,Very High Risk,5.0,4.5,14.43,11.69
287,Aditya,Aditya Birla Sun Life Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,1.42,14.37,9.95
288,IDFC,IDFC Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,3.0,1.05,14.37,9.04
289,Franklin,Franklin India Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,4.91,14.35,10.18
290,Mirae,Mirae Asset Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,4.0,2.94,14.33,11.27
291,HSBC,HSBC Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,-4.18,14.31,7.54
292,Sundaram,Sundaram Aggressive Hybrid Fund Direct Growth,Hybrid,High Risk,3.0,3.45,14.26,10.02
293,LIC,LIC MF Large & Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,-4.51,14.24,10.34
294,UTI,UTI Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,-12.29,14.24,11.62
295,Union,Union Largecap Fund Direct Growth,Equity,Very High Risk,2.0,-0.23,14.23,9.37
296,Invesco,Invesco India Largecap Fund Direct Growth,Equity,Very High Risk,4.0,-3.35,14.18,10.43
297,Aditya,Aditya Birla Sun Life Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,-0.62,14.18,9.57
298,Franklin,Franklin India Bluechip Direct Fund Growth,Equity,Very High Risk,2.0,-0.86,14.17,8.49
299,DSP,DSP Flexi Cap Fund Direct Plan Growth,Equity,Very High Risk,3.0,-4.52,14.16,10.55
300,Bank,Bank of India Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,4.0,21.37,14.1,6.24
301,Nippon,Nippon India Tax Saver (ELSS) Fund Direct Growth,Equity,Very High Risk,1.0,4.95,14.04,3.7
302,ICICI,ICICI Prudential Asset Allocator Fund (FOF) Direct Growth,Other,Moderately High Risk,4.0,9.59,14.0,12.0
303,Baroda,Baroda BNP Paribas Focused Fund Direct Growth,Equity,Very High Risk,3.0,1.22,13.98,8.77
304,Franklin,Franklin India Equity Advantage Fund Direct Growth,Equity,Very High Risk,2.0,-3.48,13.97,8.32
305,Taurus,Taurus Tax Shield Direct Growth,Equity,Very High Risk,3.0,5.88,13.96,9.34
306,Kotak,Kotak Flexicap Fund Direct Growth,Equity,Very High Risk,3.0,4.02,13.95,10.83
307,IDFC,IDFC Large Cap Fund Direct Growth,Equity,Very High Risk,3.0,-1.7,13.95,9.34
308,Tata,Tata Balanced Advantage Fund Direct Growth,Hybrid,High Risk,4.0,7.0,13.88,
309,Baroda,Baroda BNP Paribas ELSS Direct Growth,Equity,Very High Risk,3.0,-2.51,13.81,8.96
310,Motilal,Motilal Oswal Long Term Equity Fund Direct Growth,Equity,Very High Risk,3.0,0.15,13.74,9.39
311,SBI,SBI Focused Equity Fund Direct Plan Growth,Equity,Very High Risk,4.0,-6.84,13.74,11.17
312,Invesco,Invesco India Growth Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,-0.05,13.73,10.53
313,UTI,UTI Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,3.0,0.02,13.73,
314,Aditya,Aditya Birla Sun Life Manufacturing Equity Fund Direct Growth,Equity,Very High Risk,,-2.72,13.7,5.61
315,ICICI,ICICI Prudential Retirement Fund Hybrid Aggressive Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,1.82,13.7,
316,DSP,DSP Quant Fund Direct Growth,Equity,High Risk,,-5.01,13.68,
317,Aditya,Aditya Birla Sun Life Asset Allocator FoF Direct Growth,Other,High Risk,5.0,2.03,13.67,9.72
318,Nippon,Nippon India Nifty Next 50 Junior BeES FoF Direct Growth,Other,Moderately High Risk,3.0,0.02,13.61,
319,Aditya,Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth,Equity,Very High Risk,,29.21,13.59,9.45
320,IDBI,IDBI Nifty Junior Index Fund Direct Growth,Other,Very High Risk,1.0,0.41,13.57,6.31
321,HSBC,HSBC Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,1.08,13.54,
322,Invesco,Invesco India Tax Plan Direct Growth,Equity,Very High Risk,3.0,-8.19,13.53,9.76
323,DSP,DSP US Flexible Equity Direct Plan Growth,Other,Very High Risk,,-0.88,13.51,12.79
324,Kotak,Kotak Global Emerging Market Fund Direct Growth,Other,Very High Risk,,-6.23,13.49,10.77
325,DSP,DSP Nifty Next 50 Index Fund Direct Growth,Other,Moderately High Risk,3.0,0.15,13.46,
326,ICICI,ICICI Prudential Nifty Next 50 Index Direct Growth,Other,Very High Risk,1.0,-0.03,13.45,6.22
327,DSP,DSP Midcap Direct Plan Growth,Equity,Very High Risk,2.0,-5.84,13.43,8.79
328,Shriram,Shriram Long Term Equity Fund Direct Growth,Equity,Very High Risk,3.0,0.64,13.37,
329,SBI,SBI Magnum Equity ESG Fund Direct Plan Growth,Equity,Very High Risk,,-1.6,13.34,11.27
330,Sundaram,Sundaram Financial Services Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,13.3,13.32,10.94
331,Motilal,Motilal Oswal Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,3.0,-0.01,13.32,
332,Kotak,Kotak US Equity Fund Standard Direct Growth,Other,High Risk,1.0,17.14,13.24,11.67
333,Indiabulls,Indiabulls Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,2.0,4.81,13.18,
334,PGIM,PGIM India Large Cap Fund Direct Plan Growth,Equity,Very High Risk,2.0,3.11,13.17,9.63
335,ICICI,ICICI Prudential US Bluechip Equity Direct Plan Growth,Equity,Very High Risk,,1.79,13.12,15.01
336,HSBC,HSBC Managed Solutions India Growth Fund Direct Growth,Other,Very High Risk,2.0,-2.75,13.06,8.2
337,Shriram,Shriram Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,1.71,12.99,
338,Quantum,Quantum Equity Fund of Funds Direct Growth,Other,Very High Risk,2.0,-1.32,12.86,8.05
339,HSBC,HSBC Large Cap Fund Direct Growth,Equity,Very High Risk,2.0,-0.31,12.86,9.32
340,Tata,Tata Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,-6.34,12.83,
341,Navi,Navi ELSS Tax Saver Fund Direct Growth,Equity,Very High Risk,2.0,-2.35,12.78,8.84
342,Nippon,Nippon India Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,3.0,14.77,12.74,8.82
343,Indiabulls,Indiabulls Tax Savings Fund Direct Growth,Equity,Very High Risk,2.0,2.27,12.66,7.06
344,Motilal,Motilal Oswal Nasdaq 100 FOF Direct Growth,Other,Very High Risk,,-14.81,12.61,
345,Mahindra,Mahindra Manulife Rural Bharat And Consumption Yojana Direct Growth,Equity,Very High Risk,5.0,6.25,12.6,
346,Tata,Tata Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,-2.92,12.5,
347,UTI,UTI Retirement Benefit Pension Fund Direct,Solution Oriented,High Risk,,6.21,12.47,6.98
348,Tata,Tata Banking and Financial Services Fund Direct Growth,Equity,Very High Risk,4.0,14.09,12.41,12.14
349,IDBI,IDBI Equity Advantage Fund Direct Growth,Equity,Very High Risk,2.0,1.99,12.31,8.9
350,SBI,SBI Equity Hybrid Fund Direct Plan Growth,Hybrid,Very High Risk,4.0,1.63,12.27,10.15
351,HSBC,HSBC ELSS Fund Direct Growth,Equity,Very High Risk,1.0,-2.38,12.24,6.44
352,LIC,LIC MF Large Cap Fund Direct Growth,Equity,Very High Risk,3.0,-1.89,12.22,10.37
353,DSP,DSP Equity & Bond Direct Growth,Hybrid,Very High Risk,3.0,-2.6,12.22,9.62
354,Union,Union Balanced Advantage Fund Direct Growth,Hybrid,Moderate Risk,3.0,4.04,12.15,9.94
355,Mahindra,Mahindra Manulife Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,3.54,12.07,8.96
356,Navi,Navi Large Cap Equity Fund Direct Growth,Equity,Very High Risk,2.0,-0.54,12.05,8.79
357,IDBI,IDBI Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,2.0,-1.04,12.05,6.59
358,Axis,Axis Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,-9.54,12.03,12.54
359,Aditya,Aditya Birla Sun Life Financial Planning FoF Moderate Plan Direct Growth,Other,High Risk,3.0,3.22,12.02,9.02
360,Sundaram,Sundaram Consumption Fund Direct Growth,Equity,Very High Risk,1.0,5.77,12.0,7.18
361,Franklin,Franklin India Dynamic Asset Allocation Fund of Funds Direct Growth,Other,Moderately High Risk,3.0,6.2,11.96,9.19
362,Motilal,Motilal Oswal Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,4.28,11.95,
363,IDFC,IDFC Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,-2.6,11.93,7.29
364,ICICI,ICICI Prudential Balanced Advantage Direct Growth,Hybrid,Moderately High Risk,4.0,7.66,11.93,10.14
365,HSBC,HSBC Managed Solutions India Moderate Fund Direct Growth,Other,High Risk,2.0,-1.59,11.89,7.9
366,HDFC,HDFC Gold Direct Plan Growth,Other,High Risk,5.0,16.68,11.84,12.69
367,Aditya,Aditya Birla Sun Life Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,5.4,11.83,9.37
368,ITI,ITI Long Term Equity Fund Direct Growth,Equity,Moderately High Risk,2.0,4.39,11.81,
369,Motilal,Motilal Oswal Focused Fund Direct Growth,Equity,Very High Risk,2.0,1.05,11.79,9.3
370,Mirae,Mirae Asset Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,5.0,4.32,11.79,
371,Edelweiss,Edelweiss US Value Equity Offshore Fund Direct Growth,Other,Very High Risk,,4.28,11.77,11.57
372,Axis,Axis Gold Direct Plan Growth,Other,High Risk,4.0,16.56,11.76,13.06
373,Axis,Axis Triple Advantage Direct Plan Growth,Hybrid,Very High Risk,2.0,-5.77,11.71,10.5
374,SBI,SBI Gold Direct Plan Growth,Other,High Risk,3.0,16.94,11.7,12.65
375,Kotak,Kotak Debt Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,5.0,5.58,11.68,9.65
376,Nippon,Nippon India Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,3.0,6.28,11.67,8.38
377,SBI,SBI Multi Asset Allocation Fund Direct Growth,Hybrid,Very High Risk,3.0,7.43,11.63,9.77
378,Indiabulls,Indiabulls Bluechip Direct Fund Growth,Equity,Very High Risk,2.0,3.67,11.54,8.76
379,ICICI,ICICI Prudential Regular Gold Savings (FOF) Direct Growth,Other,High Risk,3.0,16.75,11.5,12.57
380,Kotak,Kotak Gold Fund Direct Growth,Other,High Risk,3.0,15.87,11.5,13.05
381,Navi,Navi Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,3.36,11.5,
382,UTI,UTI MNC Fund Direct Growth,Equity,Very High Risk,,-0.23,11.49,6.97
383,Tata,Tata Retirement Savings Fund Moderate Plan Direct Growth,Solution Oriented,Very High Risk,3.0,-0.5,11.46,8.32
384,Nippon,Nippon India Gold Savings Fund Direct Growth,Other,High Risk,2.0,16.29,11.39,12.47
385,Aditya,Aditya Birla Sun Life Gold Direct Fund Growth,Other,High Risk,1.0,16.03,11.38,12.4
386,Aditya,Aditya Birla Sun Life Equity Hybrid '95 Fund Direct Growth,Hybrid,Very High Risk,2.0,-1.16,11.38,6.79
387,Taurus,Taurus Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,4.0,11.94,11.37,11.15
388,PGIM,PGIM India Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,2.0,-0.39,11.36,8.07
389,Navi,Navi 3 in 1 Fund Direct Growth,Hybrid,Very High Risk,2.0,2.26,11.36,8.96
390,Aditya,Aditya Birla Sun Life Equity Advantage Fund Direct Growth,Equity,Very High Risk,1.0,-13.34,11.31,6.55
391,Motilal,Motilal Oswal Nifty Bank Index Fund Direct Growth,Other,High Risk,2.0,14.56,11.3,
392,IDBI,IDBI Gold Direct Growth,Other,High Risk,3.0,16.58,11.28,12.19
393,Tata,Tata Retirement Savings Fund Progressive Plan Direct Growth,Solution Oriented,Very High Risk,3.0,-2.36,11.26,8.26
394,Franklin,Franklin India Life Stage FoF The 30s Plan Direct Growth,Other,High Risk,,4.83,11.25,7.89
395,HDFC,HDFC Equity Savings Direct Plan Growth,Hybrid,Moderately High Risk,4.0,6.03,11.25,8.38
396,Kotak,Kotak Balanced Advantage Fund Direct Growth,Hybrid,High Risk,3.0,5.42,11.25,
397,Quantum,Quantum Gold Savings Fund Direct Growth,Other,High Risk,2.0,16.56,11.24,12.55
398,Shriram,Shriram Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,2.0,2.64,11.2,8.62
399,Axis,Axis Bluechip Fund Direct Plan Growth,Equity,Very High Risk,5.0,-6.73,11.17,11.95
400,Taurus,Taurus Largecap Equity Fund Direct Growth,Equity,Very High Risk,1.0,3.62,11.15,6.73
401,JM,JM Low Duration Fund Direct Plan Growth,Debt,Low to Moderate Risk,4.0,4.72,11.15,5.31
402,SBI,SBI Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,5.0,9.49,11.14,11.89
403,SBI,SBI Conservative Hybrid Fund Direct Growth,Hybrid,High Risk,4.0,5.15,11.08,8.6
404,Franklin,Franklin Asian Equity Direct Fund Growth,Equity,Very High Risk,,-10.94,11.07,10.82
405,Aditya,Aditya Birla Sun Life Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,2.0,6.77,11.01,8.16
406,UTI,UTI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,6.89,10.99,
407,Invesco,Invesco India Financial Services Fund Direct Growth,Equity,Very High Risk,3.0,7.12,10.91,9.92
408,Invesco,Invesco India Gold Fund Direct Growth,Other,High Risk,3.0,16.92,10.9,13.0
409,Invesco,Invesco India Invesco Global Equity Income FoF Direct Growth,Other,Very High Risk,3.0,5.96,10.84,8.55
410,Nippon,Nippon India Retirement Fund Wealth Creation Scheme Direct Growth,Solution Oriented,Very High Risk,1.0,0.93,10.81,5.47
411,UTI,UTI India Consumer Fund Direct Growth,Equity,Very High Risk,2.0,-5.1,10.79,7.89
412,IDFC,IDFC Focused Equity Fund Direct Growth,Equity,Very High Risk,2.0,-5.77,10.78,5.67
413,Taurus,Taurus Flexi Cap Fund Direct Growth,Equity,Very High Risk,1.0,2.12,10.75,4.91
414,HSBC,HSBC Aggressive Hybrid Fund Direct Growth,Hybrid,Very High Risk,2.0,-2.82,10.74,7.05
415,Axis,Axis Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,2.0,-5.72,10.71,
416,Bank,Bank of India Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,2.0,15.86,10.58,5.6
417,Shriram,Shriram Balanced Advantage Fund Direct Growth,Hybrid,Moderately High Risk,4.0,3.69,10.57,
418,Aditya,Aditya Birla Sun Life Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,6.51,10.55,7.18
419,UTI,UTI Focussed Equity Fund Series VI (1150 Days) Direct Growth,Equity,Very High Risk,,63.05,10.5,
420,Kotak,Kotak Equity Savings Fund Direct Growth,Hybrid,Moderate Risk,4.0,7.37,10.48,8.82
421,LIC,LIC MF Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,2.0,14.38,10.43,5.15
422,LIC,LIC MF Tax Direct Plan Growth,Equity,Very High Risk,3.0,-3.96,10.36,8.67
423,Invesco,Invesco India Equity & Bond Fund Direct Growth,Hybrid,Very High Risk,2.0,0.21,10.36,
424,Edelweiss,Edelweiss Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,5.0,4.59,10.29,8.64
425,UTI,UTI Dynamic Bond Fund Direct Growth,Debt,Low to Moderate Risk,,11.31,10.27,6.21
426,Reliance,Reliance Focused Large Cap Fund Direct Growth,Equity,Moderately High Risk,3.0,9.37,10.27,16.38
427,Axis,Axis Retirement Savings Fund Dynamic Plan Direct Growth,Solution Oriented,Moderately High Risk,1.0,-7.48,10.26,
428,DSP,DSP Top 100 Equity Direct Plan Growth,Equity,Very High Risk,1.0,3.54,10.22,8.17
429,Sundaram,Sundaram Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,5.16,10.09,8.2
430,Edelweiss,Edelweiss Europe Dynamic Equity Offshore Fund Direct Growth,Other,Very High Risk,,1.2,10.09,6.63
431,HDFC,HDFC Hybrid Debt Fund Direct Growth,Hybrid,Moderately High Risk,3.0,6.54,10.09,7.7
432,UTI,UTI Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,4.09,10.07,7.01
433,ICICI,ICICI Prudential Banking and Financial Services Direct Plan Growth,Equity,Very High Risk,3.0,8.55,10.07,8.32
434,Baroda,Baroda Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,4.0,4.24,9.98,8.77
435,Invesco,Invesco India Invesco Pan European Equity FoF Direct Growth,Other,Very High Risk,3.0,6.87,9.92,5.35
436,Aditya,Aditya Birla Sun Life Retirement Fund The 30s Plan Direct Growth,Solution Oriented,Moderately High Risk,2.0,0.37,9.89,
437,UTI,UTI Multi Asset Fund Direct Growth,Hybrid,Very High Risk,2.0,4.81,9.88,6.82
438,IDFC,IDFC Asset Allocation Aggressive Direct Plan Growth,Other,Very High Risk,2.0,-1.28,9.87,6.52
439,JM,JM Focused Direct Plan Growth,Equity,Very High Risk,1.0,2.71,9.85,7.5
440,Aditya,Aditya Birla Sun Life Financial Planning FoF Conservative Plan Direct Growth,Other,Moderately High Risk,4.0,4.34,9.84,8.01
441,Canara,Canara Robeco Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,5.0,3.72,9.76,9.03
442,ICICI,ICICI Prudential Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,5.0,4.81,9.71,8.87
443,HSBC,HSBC Equity Savings Fund Direct Growth,Hybrid,Moderate Risk,2.0,2.36,9.68,6.96
444,Invesco,Invesco India Dynamic Equity Fund Direct Growth,Hybrid,Very High Risk,2.0,4.57,9.68,6.85
445,DSP,DSP Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,2.0,5.48,9.63,7.73
446,ICICI,ICICI Prudential Income Optimizer Fund (FOF) Direct Growth,Other,Moderate Risk,4.0,7.82,9.59,8.98
447,Franklin,Franklin India Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,4.26,9.56,
448,Nippon,Nippon India Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,1.0,6.34,9.53,5.18
449,HDFC,HDFC Fixed Maturity Plan 1141 Days August 2018 (1) Direct Growth,Debt,Moderately High Risk,3.0,9.19,9.52,
450,ICICI,ICICI Prudential Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,5.0,5.55,9.44,8.8
451,Bank,Bank of India Short Term Income Fund Direct Growth,Debt,Moderate Risk,5.0,27.76,9.43,4.05
452,Quantum,Quantum Multi Asset Fund of Funds Direct Growth,Other,Moderately High Risk,3.0,7.26,9.37,7.9
453,IDFC,IDFC Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,3.0,-0.36,9.36,8.09
454,Aditya,Aditya Birla Sun Life Retirement Fund The 40s Plan Direct Growth,Solution Oriented,Moderately High Risk,2.0,0.47,9.27,
455,SBI,SBI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,1.85,9.27,7.61
456,Axis,Axis Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,3.0,1.23,9.27,7.85
457,Baroda,Baroda BNP Paribas Credit Risk Fund Direct Growth,Debt,Moderately High Risk,5.0,5.59,9.25,7.56
458,Axis,Axis Equity Saver Fund Direct Growth,Hybrid,Moderately High Risk,3.0,1.41,9.23,8.62
459,DSP,DSP Focus Direct Plan Growth,Equity,Very High Risk,2.0,-4.52,9.09,7.55
460,Tata,Tata Dividend Yield Fund Direct Growth,Equity,Very High Risk,,3.68,9.08,16.72
461,Aditya,Aditya Birla Sun Life Global Emerging Opportunities Fund Direct Growth,Other,Very High Risk,,-7.63,9.07,6.8
462,Axis,Axis Regular Saver Fund Direct Growth,Hybrid,Moderately High Risk,3.0,1.22,9.02,6.84
463,UTI,UTI Banking and Financial Services Fund Direct Plan Growth,Equity,Very High Risk,2.0,10.35,8.96,5.27
464,Axis,Axis Long Term Equity Direct Plan Growth,Equity,Very High Risk,2.0,-12.97,8.91,8.72
465,Aditya,Aditya Birla Sun Life International Equity Fund Plan A Direct Growth,Equity,Very High Risk,,2.49,8.87,10.37
466,Sundaram,Sundaram Debt Oriented Hybrid Fund Direct Plan Growth,Hybrid,Moderate Risk,2.0,3.89,8.84,5.85
467,HSBC,HSBC Balanced Advantage Fund Direct Growth,Hybrid,Moderately High Risk,3.0,3.68,8.73,7.9
468,UTI,UTI Bond Fund Direct Growth,Debt,Moderate Risk,5.0,10.85,8.71,4.24
469,ITI,ITI Multi Cap Fund Direct Growth,Equity,Moderately High Risk,,3.74,8.7,
470,IDBI,IDBI Short Term Bond Fund Direct Growth,Debt,Low to Moderate Risk,4.0,4.09,8.68,6.93
471,ICICI,ICICI Prudential Global Stable Equity Fund (FOF) Direct Growth,Other,Very High Risk,,2.66,8.68,9.29
472,LIC,LIC MF Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,-4.32,8.67,6.21
473,Tata,Tata Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,2.0,3.48,8.64,7.54
474,Axis,Axis Retirement Savings Fund Aggressive Plan Direct Growth,Solution Oriented,Moderately High Risk,1.0,-7.46,8.59,
475,IDBI,IDBI Banking & Financial Services Fund Direct Growth,Equity,Very High Risk,2.0,5.27,8.56,
476,HDFC,HDFC Retirement Savings Fund Hybrid Debt Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,5.52,8.53,7.35
477,Aditya,Aditya Birla Sun Life Tax Relief 96 Direct Growth,Equity,Very High Risk,1.0,-2.88,8.49,5.62
478,Baroda,Baroda BNP Paribas Banking and Financial Services Direct Growth,Equity,Very High Risk,2.0,10.49,8.39,8.52
479,PGIM,PGIM India Global Equity Opportunities Fund Direct Growth,Other,Very High Risk,,-19.1,8.33,12.04
480,IDBI,IDBI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,2.0,2.93,8.28,7.53
481,DSP,DSP Dynamic Asset Allocation Fund Direct Growth,Hybrid,Moderately High Risk,4.0,1.03,8.26,8.2
482,Axis,Axis Retirement Savings Fund Conservative Plan Direct Growth,Solution Oriented,Moderately High Risk,3.0,-2.34,8.24,
483,Franklin,Franklin India Life Stage FoF The 50s Plus Floating Rate Direct Plan Growth,Other,Moderate Risk,3.0,5.76,8.24,7.44
484,PGIM,PGIM India Equity Savings Fund Direct Growth,Hybrid,Low to Moderate Risk,3.0,4.19,8.19,7.29
485,Baroda,Baroda BNP Paribas Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,3.96,8.19,
486,UTI,UTI Fixed Term Income Fund Series XXX II (1107 Days) Direct Growth,Debt,Low to Moderate Risk,,4.18,8.17,
487,UTI,UTI Fixed Term Income Fund Series XXIX VIII (1127 Days) Direct Growth,Debt,Low to Moderate Risk,,4.19,8.15,
488,Aditya,Aditya Birla Sun Life Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,2.0,-0.21,8.14,6.63
489,DSP,DSP Regular Savings Direct Plan Growth,Hybrid,Moderate Risk,2.0,4.41,8.06,5.88
490,Nippon,Nippon India US Equity Opportunities Fund Direct Growth,Equity,Very High Risk,,-8.68,8.03,12.38
491,UTI,UTI Short term Income Direct Growth,Debt,Low to Moderate Risk,5.0,4.63,8.03,5.39
492,LIC,LIC MF Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,1.0,-1.83,8.01,6.89
